ID,student_ID,date,present
550e8400-e29b-41d4-a716-446655000001,11111111-1111-1111-1111-111111111001,2025-01-01,true
550e8400-e29b-41d4-a716-446655000002,11111111-1111-1111-1111-111111111002,2025-01-02,false
550e8400-e29b-41d4-a716-446655000003,11111111-1111-1111-1111-111111111003,2025-01-03,true
550e8400-e29b-41d4-a716-446655000004,11111111-1111-1111-1111-111111111004,2025-01-04,false
550e8400-e29b-41d4-a716-446655000005,11111111-1111-1111-1111-111111111005,2025-01-05,true
550e8400-e29b-41d4-a716-446655000006,11111111-1111-1111-1111-111111111006,2025-01-06,false
550e8400-e29b-41d4-a716-446655000007,11111111-1111-1111-1111-111111111007,2025-01-07,true
550e8400-e29b-41d4-a716-446655000008,11111111-1111-1111-1111-111111111008,2025-01-08,false
550e8400-e29b-41d4-a716-446655000009,11111111-1111-1111-1111-111111111009,2025-01-09,true
550e8400-e29b-41d4-a716-446655000010,11111111-1111-1111-1111-111111111010,2025-01-10,false
550e8400-e29b-41d4-a716-446655000011,11111111-1111-1111-1111-111111111001,2025-01-11,true
550e8400-e29b-41d4-a716-446655000012,11111111-1111-1111-1111-111111111002,2025-01-12,false
550e8400-e29b-41d4-a716-446655000013,11111111-1111-1111-1111-111111111003,2025-01-13,true
550e8400-e29b-41d4-a716-446655000014,11111111-1111-1111-1111-111111111004,2025-01-14,false
550e8400-e29b-41d4-a716-446655000015,11111111-1111-1111-1111-111111111005,2025-01-15,true
550e8400-e29b-41d4-a716-446655000016,11111111-1111-1111-1111-111111111006,2025-01-16,false
550e8400-e29b-41d4-a716-446655000017,11111111-1111-1111-1111-111111111007,2025-01-17,true
550e8400-e29b-41d4-a716-446655000018,11111111-1111-1111-1111-111111111008,2025-01-18,false
550e8400-e29b-41d4-a716-446655000019,11111111-1111-1111-1111-111111111009,2025-01-19,true
550e8400-e29b-41d4-a716-446655000020,11111111-1111-1111-1111-111111111010,2025-01-20,false
550e8400-e29b-41d4-a716-446655000021,11111111-1111-1111-1111-111111111001,2025-01-21,true
550e8400-e29b-41d4-a716-446655000022,11111111-1111-1111-1111-111111111002,2025-01-22,false
550e8400-e29b-41d4-a716-446655000023,11111111-1111-1111-1111-111111111003,2025-01-23,true
550e8400-e29b-41d4-a716-446655000024,11111111-1111-1111-1111-111111111004,2025-01-24,false
550e8400-e29b-41d4-a716-446655000025,11111111-1111-1111-1111-111111111005,2025-01-25,true
550e8400-e29b-41d4-a716-446655000026,11111111-1111-1111-1111-111111111006,2025-01-26,false
550e8400-e29b-41d4-a716-446655000027,11111111-1111-1111-1111-111111111007,2025-01-27,true
550e8400-e29b-41d4-a716-446655000028,11111111-1111-1111-1111-111111111008,2025-01-28,false
550e8400-e29b-41d4-a716-446655000029,11111111-1111-1111-1111-111111111009,2025-01-29,true
550e8400-e29b-41d4-a716-446655000030,11111111-1111-1111-1111-111111111010,2025-01-30,false
550e8400-e29b-41d4-a716-446655000031,11111111-1111-1111-1111-111111111001,2025-01-31,true
550e8400-e29b-41d4-a716-446655000032,11111111-1111-1111-1111-111111111002,2025-02-01,false
550e8400-e29b-41d4-a716-446655000033,11111111-1111-1111-1111-111111111003,2025-02-02,true
550e8400-e29b-41d4-a716-446655000034,11111111-1111-1111-1111-111111111004,2025-02-03,false
550e8400-e29b-41d4-a716-446655000035,11111111-1111-1111-1111-111111111005,2025-02-04,true
550e8400-e29b-41d4-a716-446655000036,11111111-1111-1111-1111-111111111006,2025-02-05,false
550e8400-e29b-41d4-a716-446655000037,11111111-1111-1111-1111-111111111007,2025-02-06,true
550e8400-e29b-41d4-a716-446655000038,11111111-1111-1111-1111-111111111008,2025-02-07,false
550e8400-e29b-41d4-a716-446655000039,11111111-1111-1111-1111-111111111009,2025-02-08,true
550e8400-e29b-41d4-a716-446655000040,11111111-1111-1111-1111-111111111010,2025-02-09,false
